cert_city_cd,cert_city_nm,city_tag,map_city_id
4413,惠州,惠州,4413
4414,梅州,梅州,4414
4415,汕尾,汕尾,4415
4416,河源,河源,4416
4417,阳江,阳江,4417
4418,清远,清远,4418
4419,东莞,东莞,4419
4420,中山,中山,4420
4425,东莞,东莞,4419
4428,云浮,新兴,4453
4451,潮州,潮州,4451
4452,揭阳,揭阳,4452
4453,云浮,云浮,4453
4501,南宁,南宁,4501
4502,柳州,柳州,4502
4503,桂林,桂林,4503
4504,梧州,梧州,4504
4505,北海,北海,4505
4506,防城港,防城港,4506
4507,钦州,钦州,4507
4508,贵港,贵港,4508
4509,玉林,玉林,4509
4521,南宁辖县,南宁,4521
4522,柳州辖县,柳州,4522
4523,桂林,桂林,4503
4524,贺州,贺州,4524
4525,玉林,玉林,4509
4526,百色,百色,4526
4527,河池,河池,4527
4528,钦州,钦州,4507
4600,海口,海口,4600
4601,海口,海口,4601
4602,三亚,三亚,4602
4690,三亚辖市县,澄迈县,4600
5001,重庆辖区,重庆,5001
5002,重庆辖县,重庆,5002
5003,重庆辖县,重庆,5002
5101,成都,成都,5101
5102,重庆辖县,重庆,5002
5103,自贡,自贡,5103
5104,攀枝花,攀枝花,5104
5105,泸州,泸州,5105
5106,德阳,德阳,5106
5107,绵阳,绵阳,5107
5108,广元,广元,5108
5109,遂宁,遂宁,5109
5110,内江,内江,5110
5111,乐山,乐山,5111
5112,重庆辖县,重庆,5002
5113,南充,南充,5113
5115,宜宾,宜宾,5115
5116,广安,广安,5116
5119,巴中,巴中,5137
5122,重庆辖县,重庆,5002
5123,重庆辖县,重庆,5002
5125,宜宾,宜宾,5115
5129,南充,南充,5113
5130,达川,达川,5130
5131,雅安,雅安,5131
5132,阿坝,阿坝,5132
5133,甘孜,甘孜,5133
5134,凉山,凉山,5134
5135,重庆辖县,重庆,5002
5136,广安,广安,5116
5137,巴中,巴中,5137
5138,眉山,眉山,5138
5139,眉山辖县,眉山,5139
5190,成都,都江堰,5101
5201,贵阳,贵阳,5201
5202,六盘水,六盘水,5202
5203,遵义,遵义,5203
5221,遵义,遵义,5203
5222,铜仁,铜仁,5222
5223,黔西,黔西,5223
5224,毕节,毕节,5224
5225,安顺,安顺,5225
5226,黔东,黔东,5226
5227,黔南,黔南,5227
5301,昆明,昆明,5301
5302,昆明,昆明,5301
5303,曲靖,曲靖,5303
5304,玉溪,玉溪,5304
5321,昭通,昭通,5321
5322,曲靖,曲靖,5303
5323,楚雄,楚雄,5323
5324,玉溪,玉溪,5304
5325,红河,红河,5325
5326,文山,文山,5326
5327,思茅,思茅,5327
5328,西双版,西双版,5328
5329,大理,大理,5329
5330,保山,保山,5330
5331,德宏,德宏,5331
5332,丽江,丽江,5332
5333,怒江,怒江,5333
5334,迪庆,迪庆,5334
5335,临沧,临沧,5335
5401,拉萨,拉萨,5401
5421,昌都,昌都,5421
5422,山南,山南,5422
5423,日喀则,日喀则,5423
5424,那曲,那曲,5424
5425,阿里,阿里,5425
5426,林芝,林芝,5426
6101,西安,西安,6101
6102,铜川,铜川,6102
6103,宝鸡,宝鸡,6103
6104,咸阳,咸阳,6104
6105,渭南,渭南,6105
6106,延安,延安,6106
6107,汉中,汉中,6107
6121,渭南,渭南,6105
6123,汉中,汉中,6107
6124,安康,安康,6124
6125,商洛,商洛,6125
6126,延安,延安,6106
6127,榆林,榆林,6127
6201,兰州,兰州,6201
6202,嘉峪关,嘉峪关,6202
6203,嘉峪关辖县,嘉峪关,6203
6204,白银,白银,6204
6205,天水,天水,6205
6221,酒泉,酒泉,6221
6222,张掖,张掖,6222
6223,武威,武威,6223
6224,定西,定西,6224
6226,陇南,陇南,6226
6227,平凉,平凉,6227
6228,庆阳,庆阳,6228
6229,临夏,临夏,6229
6230,甘南,甘南,6230
6301,西宁,西宁,6301
6321,海东,海东,6321
6322,海北,海北,6322
6323,黄南,黄南,6323
6325,海南,海南,6325
6326,果洛,果洛,6326
6327,玉树,玉树,6327
6328,海西,海西,6328
6401,银川,银川,6401
